id,label,target,weight,age,score,role
N1,L1,N0,3,,,
N2,L2,N0,5,35,,HR
N3,L3,N1,7,,,HR
N4,L4,N0,1,35,,Designer
N5,L5,N4,9,37,,Analyst
N6,L6,N5,4,23,,Manager
N7,L7,N1,10,43,,Engineer
N8,L8,N3,7,27,,
N9,L9,N8,2,,,
N10,L10,N9,6,57,8.44,HR
N11,L11,N7,7,26,75.75,Designer
N12,L12,N2,2,50,61.3,Engineer
N13,L13,N3,8,64,11.65,Engineer
N14,L14,N4,5,46,,HR
N15,L15,N0,3,24,,Designer
N16,L16,N2,10,18,,
N17,L17,N14,6,47,94.75,Engineer
N18,L18,N8,8,35,62.88,
N19,L19,N17,6,59,,Analyst
N20,L20,N6,5,64,94.38,Manager
N21,L21,N10,9,29,,
N22,L22,N12,4,33,89.23,Engineer
N23,L23,N16,9,19,95.4,Analyst
N24,L24,N1,4,64,60.59,HR
N25,L25,N17,3,30,63.85,Analyst
N26,L26,N23,5,,57.66,Manager
N27,L27,N26,9,35,,Designer
N28,L28,N26,10,47,,
N29,L29,N26,4,35,90.79,
N30,L30,N20,6,19,,Manager
N31,L31,N7,10,46,,Analyst
N32,L32,N2,2,,70.37,Analyst
N33,L33,N7,5,26,,
N34,L34,N4,2,57,,Analyst
N35,L35,N16,5,39,40.41,
N36,L36,N24,4,19,,HR
N37,L37,N19,4,35,,Manager
N38,L38,N37,2,61,,Analyst
N39,L39,N5,3,34,58.08,
N40,L40,N32,4,27,,Engineer
N41,L41,N36,9,59,,
N42,L42,N12,1,,,Designer
N43,L43,N40,9,29,1.51,
N44,L44,N39,1,28,,
N45,L45,N31,6,41,,HR
N46,L46,N21,8,58,65.45,Manager
N47,L47,N24,6,37,,Analyst
N48,L48,N15,2,43,,
N49,L49,N43,9,46,71.87,Manager
N50,L50,N49,6,,,Engineer
N51,L51,N33,4,43,,Analyst
N52,L52,N42,10,,,Designer
N53,L53,N29,4,52,20.03,Analyst
N54,L54,N19,10,,13.23,
N55,L55,N44,4,18,52.72,Engineer
N56,L56,N28,5,38,,HR
N57,L57,N48,10,37,,Designer
N58,L58,N10,10,29,,
N59,L59,N56,10,48,,
N60,L60,N0,5,,14.71,Designer
N61,L61,N45,7,42,,Engineer
N62,L62,N60,9,,,HR
N63,L63,N0,5,60,83.33,HR
N64,L64,N4,5,46,,Manager
N65,L65,N40,1,39,50.34,Analyst
N66,L66,N15,1,44,86.17,Designer
N67,L67,N9,1,41,,Manager
N68,L68,N64,5,50,,Manager
N69,L69,N25,9,33,,Engineer
N70,L70,N49,2,25,,Analyst
N71,L71,N39,2,43,,Analyst
N72,L72,N10,8,33,78.96,Designer
N73,L73,N12,7,,,Designer
N74,L74,N39,6,41,,Analyst
N75,L75,N72,4,61,,Analyst
N76,L76,N55,1,51,,Manager
N77,L77,N18,1,41,6.23,Designer
N78,L78,N25,7,,,Analyst
N79,L79,N36,2,48,,Engineer
N80,L80,N21,9,,,Analyst
N81,L81,N55,2,48,56.18,Designer
N82,L82,N63,6,56,13.73,HR
N83,L83,N65,2,33,,HR
N84,L84,N13,6,42,,
N85,L85,N22,2,35,41.82,HR
N86,L86,N34,8,65,33.35,Analyst
N87,L87,N19,5,,15.0,Analyst
N88,L88,N17,9,46,73.79,HR
N89,L89,N0,5,30,89.34,
N90,L90,N76,5,29,,Engineer
N91,L91,N52,8,18,58.11,Analyst
N92,L92,N72,9,51,,Engineer
N93,L93,N9,1,,31.7,Analyst
N94,L94,N12,4,55,29.69,HR
N95,L95,N77,1,43,93.5,HR
N96,L96,N59,1,,84.29,HR
N97,L97,N56,4,,,Manager
N98,L98,N57,1,48,63.04,HR
N99,L99,N74,4,57,15.66,
N100,L100,N39,6,,,Engineer
N101,L101,N24,3,21,87.45,Engineer
N102,L102,N78,8,,,Analyst
N103,L103,N21,10,63,,
N104,L104,N2,8,41,14.14,Analyst
N105,L105,N71,7,,,Analyst
N106,L106,N99,2,,91.89,Engineer
N107,L107,N33,4,40,,Manager
N108,L108,N11,10,34,22.3,
N109,L109,N36,6,51,44.42,HR
N110,L110,N105,4,,61.68,Analyst
N111,L111,N6,9,22,,Manager
N112,L112,N0,4,,8.85,Designer
N113,L113,N90,2,44,,Analyst
N114,L114,N40,9,26,,
N115,L115,N10,9,42,16.02,Engineer
N116,L116,N22,4,32,82.22,Engineer
N117,L117,N115,7,60,,Manager
N118,L118,N48,7,,23.68,Designer
N119,L119,N18,5,36,89.66,Analyst
N120,L120,N74,10,32,43.73,Manager
N121,L121,N76,9,38,54.6,Manager
N122,L122,N16,3,47,99.37,Designer
N123,L123,N64,4,,,HR
N124,L124,N115,9,51,96.36,Engineer
N125,L125,N98,1,31,,
N126,L126,N24,3,,,Analyst
N127,L127,N65,1,55,,Analyst
N128,L128,N71,4,64,,
N129,L129,N107,4,43,78.58,Analyst
N130,L130,N1,9,,63.66,HR
N131,L131,N62,6,,,Analyst
N132,L132,N115,6,,91.58,Engineer
N133,L133,N120,3,18,18.69,Engineer
N134,L134,N34,6,,,Engineer
